Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
22700,63298,63298,022700632985,COVER GL PERPOINT PENC GRY KHA                                   ,CS,72,.008 OZ     ,Grocery- other                ,$179.10,3
22776,00149,00149,722776001493,SPLENDA NATURALS STEVIA SWTNR                                    ,CS,12,80 CT       ,Grocery- other                ,$53.70,59
22776,20003,20003,722776200032,Splenda Sugar Substitute                                         ,CS,12,200 CT      ,Baking Sup/Mixes/Frstg/Syryp  ,$74.13,2015
22776,20041,20041,722776200414,SPLENDA PACKETS                                                  ,CS,6,400 CT      ,Grocery- other                ,$55.77,27
22776,21004,21010,722776210048,Splenda Granulated Pouch                                         ,CS,8,9.7 OZ      ,Baking Sup/Mixes/Frstg/Syryp  ,$48.51,1927
22776,22413,22413,722776224137,SPLENDA SWEETENER PACKETS                                        ,CS,2000,1 CT        ,Grocery- other                ,$27.26,501
22796,90120,95120,022796901200,OGX X/S COC MIRACLE OIL SH                                       ,CS,4,13 OZ       ,Grocery- other                ,$21.39,174
22796,91614,91614,022796916143,Organix Moroccan Argon Oil Serum                                 ,CS,6,3.3 OZ      ,Shampoo/Condtnr/Hair Color    ,$31.84,184
24000,01544,04725,024000015444,DELMONTE SUMMER SWEET CORN                                       ,CS,12,11 OZ       ,Canned vegetables             ,$14.68,1774
24000,02771,02771,024000027713,Del Monte Gold & White Corn                                      ,CS,12,15.25 OZ    ,Canned vegetables             ,$16.42,1066
24000,16286,16286,024000162865,Del Monte Cut Green Beans                                        ,CS,24,14.5 OZ     ,Canned vegetables             ,$27.46,815
24000,16287,16287,024000162872,Del Monte Green Bean Cut No Salt Added (1264)                    ,CS,24,14.5 OZ     ,Canned vegetables             ,$28.36,398
24000,16290,16290,024000162902,Del Monte Green Bean French Style No Salt Added (1269)           ,CS,24,14.5 OZ     ,Canned vegetables             ,$27.76,102
24000,16293,52405,024000162933,Del Monte Green Bean Whole (1378)                                ,CS,12,14.5 OZ     ,Canned vegetables             ,$14.23,2925
24000,16294,11763,024000162940,Del Monte Green Bean Italian                                     ,CS,12,14.5 OZ     ,Canned vegetables             ,$14.33,773
24000,16300,04722,024000163008,Del Monte Cream Gold Corn No salt Added                          ,CS,12,14.75OZ     ,Canned vegetables             ,$14.68,451
24000,16301,16301,024000163015,Del Monte Corn Cream (1517)                                      ,CS,24,14.75 OZ    ,Canned vegetables             ,$27.61,151
24000,16302,16302,024000163022,Del Monte Whole Kernel Corn                                      ,CS,24,15.25 OZ    ,Canned vegetables             ,$30.60,211
24000,16305,16305,024000163053,Del Monte Whole Kernel Corn No Salt                              ,CS,24,15.25 OZ    ,Canned vegetables             ,$28.61,707
24000,16719,51068,024000167198,DM LIGHT SLICED PEACHES                                          ,CS,12,15 OZ       ,Grocery- other                ,$21.09,2
24000,16729,51071,024000167297,DELMONTE PEAR SLICES                                             ,CS,12,15.25 OZ    ,Canned vegetables             ,$21.19,57
24200,04788,04788,024200047887,PUREX FREE & CLEAR                                               ,CS,6,50 OZ       ,Grocery- other                ,$22.54,14
25105,00002,00002,025105000021,MACADAMIA NUTS CARAMEL SEA SAL                                   ,CS,6,4.5 OZ      ,                              ,$18.91,18
25500,00034,20629,025500000343,Folgers Instant Coffee                                           ,CS,6,8 OZ        ,Coffee/tea                    ,$27.81,849
25500,00080,20633,025500000800,Folgers Instant Coffee                                           ,CS,6,12OZ        ,Coffee/tea                    ,$41.54,1050
25500,00088,20630,025500000886,Folgers Instant Decaf                                            ,CS,6,8 OZ        ,Coffee/tea                    ,$32.54,447
25500,20083,20083,025500200835,Folgers 3Oz Classic Instant Coffee                               ,CS,12,3 OZ        ,Coffee/tea                    ,$29.17,3326
25500,20493,20493,025500204932,Folgers Classic Decaf Medium Ground Coffee                       ,CS,6,30.5 OZ     ,Coffee/tea                    ,$62.82,68
25500,20538,20538,025500205380,Folgers House Blend                                              ,CS,6,24.2 OZ     ,Coffee/tea                    ,$52.47,10
25500,81121,81121,025500811215,Folgers Singles Regular                                          ,CS,12,19 CT       ,Coffee/tea                    ,$41.79,468
25700,00310,00310,025700003106,Ziploc Double Zipper Storage Qt                                  ,CS,9,48 CT       ,Bags/Foils/ Wraps             ,$38.76,4660
25700,00320,00320,025700003205,Ziploc Storage Bag Gallon                                        ,CS,9,38 CT       ,Bags/Foils/ Wraps             ,$38.76,2434
